examen|clause|opa|opb
ENE20|La inversión en existencias de productos de consumo de las empresas se computa en:|(a) El Gasto en Consumo Final de las Familias. |(b)* La Formación Bruta de Capital.
ENE20|Una isla produce piñas y cocos. El año pasado (año base) se produjeron 8 piñas y 10 cocos, siendo los precios: 10 € cada piña y 5 € cada coco. Este año se han producido 12 piñas y 15 cocos, y los precios: 8 € cada piña y 8 € cada coco. El PIB real de este año es: |(a)* 195 euros.|(b) 216 euros.
ENE20|La oferta de fondos prestables la constituye: |(a)* El ahorro nacional. |(b) El ahorro privado.
ENE20|En general, la relación entre exportaciones netas y tipo de cambio real es negativa, excepto en el caso de que la ley de precio único se cumpla estrictamente.|(a)* Verdadero.|(b) Falso
ENE20|Si el Gobierno reduce la recaudación de impuestos netos, provocará que: |(a)* Disminuya el ahorro público pero aumente el ahorro privado.|(b) Disminuyan el ahorro nacional y el ahorro privado. 
ENE20|Si el Gobierno español reduce su déficit público: |(a)* Aumentará el ahorro, la inversión y las exportaciones netas españolas.|(b) En España aumentará el tipo de interés real.
ENE20|Un aumento del coeficiente de reservas |(a) aumenta la base monetaria pero no altera la oferta monetaria. |(b)* reduce el multiplicador monetario y, por lo tanto, la oferta monetaria.
ENE20|¿Cuál es la tasa de actividad de una región en la que hay 10 millones de personas que tienen 16 años o más, entre las cuales hay 4 millones ocupadas y 2 millones desempleadas? |(a) 40%. |(b)* 60%.
ENE20|En el modelo de una economía cerrada, un aumento del gasto público |(a) provoca una disminución únicamente de la inversión. |(b)* provoca una disminución tanto de la inversión como del consumo.
ENE20|En el contexto de una economía cerrada, una política que fomente el ahorro de las familias tendrá como resultado un aumento |(a)* de la inversión. |(b) del tipo de interés real.
ENE20|Una economía cerrada se encuentra en desequilibrio de forma que S > I. Este desequilibrio también puede expresarse como |(a)* Y > C + I + G|(b) Y < C + I + G
ENE20|Si un país tiene déficit en su balanza por cuenta corriente y la cuenta de capital está equilibrada, entonces dicho país, frente al resto del mundo, tiene |(a) capacidad de financiación. |(b)* necesidad de financiación.
ENE20|Un país tiene un ahorro privado de 80 unidades monetarias (u.m.), y un déficit público y una inversión de 50 u.m. cada uno. Entonces tendrá, por un valor de 20 u.m., |(a)* una entrada neta de capitales.|(b) una salida neta de capitales.
